Location,Lat,Long,UTC_Date,UTC_Time,Local_Date,Local_Time,Celsius,Volts,Msas,Status,MoonPhase,MoonElev,MoonIllum,SunElev,MinSince3pmStdTime,Msas_Avg,NightsSince_1118,RightAscensionHr,Galactic_Lat,Galactic_Long,J2000days,ResidStdErr
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-05,12:30:39,2023-07-05,07:30:39,23.2,5.09,15.22,0,-29.0,14.516,93.7,9.934,0931,-1.000000,2011,   0.8610521, -32.9461346, 122.99007,8586.021285,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-05,12:46:51,2023-07-05,07:46:51,24.1,5.06,11.54,0,-29.1,11.798,93.7,13.237,0947,-1.000000,2011,   1.1317913, -32.8103427, 127.17792,8586.032535,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-05,14:15:05,2023-07-05,09:15:05,24.8,5.06,16.05,1,-30.0,-4.208,93.3,31.741,1035,-1.000000,2011,   2.6063731, -27.6706378, 148.56513,8586.093808,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-05,14:30:05,2023-07-05,09:30:05,27.3,5.06,14.98,1,-30.1,-7.083,93.2,34.951,1050,-1.000000,2011,   2.8570576, -26.1381158, 151.79039,8586.104225,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-05,14:45:05,2023-07-05,09:45:05,29.0,5.06,14.68,1,-30.3,-9.992,93.2,38.173,1065,-1.000000,2011,   3.1077421, -24.4443038, 154.86979,8586.114641,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,02:00:05,2023-07-05,21:00:05,31.5,5.06,12.14,1,-36.7,-25.085,90.1,-5.274,0300,-1.000000,2012,  14.3885435,  69.6615867,  46.26200,8586.583391,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,02:15:05,2023-07-05,21:15:05,30.9,5.06,15.78,1,-36.9,-21.978,90.0,-8.057,0315,-1.000000,2012,  14.6392280,  66.4035397,  46.07672,8586.593808,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,02:30:05,2023-07-05,21:30:05,30.6,5.06,18.34,1,-37.0,-18.885,89.9,-10.777,0330,-1.000000,2012,  14.8899125,  63.1450025,  46.17028,8586.604225,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,02:45:05,2023-07-05,21:45:05,29.9,5.06,19.77,1,-37.2,-15.808,89.8,-13.427,0345,-1.000000,2012,  15.1405970,  59.8890927,  46.45746,8586.614641,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,03:00:05,2023-07-05,22:00:05,29.6,5.06,20.10,1,-37.3,-12.749,89.8,-15.997,0360,-1.000000,2012,  15.3912814,  56.6381365,  46.88702,8586.625058,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,03:15:05,2023-07-05,22:15:05,29.3,5.06,20.15,1,-37.5,-9.712,89.7,-18.480,0375,-1.000000,2012,  15.6419659,  53.3940497,  47.42667,8586.635475,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,03:30:05,2023-07-05,22:30:05,28.6,5.06,20.15,1,-37.6,-6.698,89.6,-20.865,0390,-1.000000,2012,  15.8926504,  50.1585368,  48.05541,8586.645891,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,03:45:05,2023-07-05,22:45:05,28.6,5.06,20.16,1,-37.8,-3.710,89.5,-23.143,0405,-1.000000,2012,  16.1433349,  46.9332046,  48.75932,8586.656308,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,04:00:05,2023-07-05,23:00:05,28.3,5.06,20.12,1,-37.9,-0.753,89.5,-25.301,0420,-1.000000,2012,  16.3940194,  43.7196325,  49.52912,8586.666725,999000.000000
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,04:15:05,2023-07-05,23:15:05,28.3,5.06,19.95,1,-38.0,2.171,89.4,-27.326,0435,-1.000000,2012,  16.6447038,  40.5194206,  50.35869,8586.677141,1857.464896
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,04:30:05,2023-07-05,23:30:05,28.3,5.06,19.74,1,-38.2,5.058,89.3,-29.207,0450,-1.000000,2012,  16.8953883,  37.3342249,  51.24419,8586.687558,1149.789010
The_Freeman_Center,  29.9255900, -97.9928400,2023-07-06,04:45:05,2023-07-05,23:45:05,28.0,5.06,19.60,1,-38.3,7.903,89.2,-30.927,0465,-1.000000,2012,  17.1460728,  34.1657866,  52.18342,8586.697975,667.286420
